1. DocId : 6328 | Concept_CD : SYN|ANA:YPAPD | NAME_CHAR : Poids
2. DocId : 73335 | Concept_CD : SYN|ANA:YPAPA | NAME_CHAR : Poids
3. DocId : 198024 | Concept_CD : SYN|ANA:YPAPB | NAME_CHAR : Poids
4. DocId : 262735 | Concept_CD : SYN|ANA:YPAPE | NAME_CHAR : Poids
5. DocId : 303307 | Concept_CD : SYN|ANA:YPAPC | NAME_CHAR : Poids
6. DocId : 311095 | Concept_CD : DXC|REPONSE:132419-132419|452378 | NAME_CHAR : POIDS
7. DocId : 75251 | Concept_CD : DXC|REPONSE:165353-165353|609802 | NAME_CHAR : Poids stable
8. DocId : 143135 | Concept_CD : DXC|REPONSE:47658-47658|26595 | NAME_CHAR : Poids stable
9. DocId : 182025 | Concept_CD : DXC|REPONSE:136159-136159|602780 | NAME_CHAR : Poids stable
10. DocId : 194193 | Concept_CD : DXC|REPONSE:63815-63815|26595 | NAME_CHAR : Poids stable
11. DocId : 200717 | Concept_CD : SYN|ANA:C7PSS | NAME_CHAR : Poids sec
12. DocId : 5916 | Concept_CD : DXC|REPONSE:12129-12129|10556 | NAME_CHAR : Prise de poids ou poids stable
13. DocId : 199393 | Concept_CD : DXC|REPONSE:24087-24087|10556 | NAME_CHAR : Prise de poids ou poids stable
14. DocId : 250025 | Concept_CD : DXC|REPONSE:29293-29293|10556 | NAME_CHAR : Prise de poids ou poids stable
15. DocId : 291086 | Concept_CD : DXC|REPONSE:30153-30153|10556 | NAME_CHAR : Prise de poids ou poids stable
16. DocId : 338361 | Concept_CD : DXC|REPONSE:56650-56650|10556 | NAME_CHAR : Prise de poids ou poids stable
17. DocId : 3246 | Concept_CD : DXC|QUESTION|AUTRE:18256 | NAME_CHAR : 039 - Poids actuel
18. DocId : 3460 | Concept_CD : DXC|QUESTION|AUTRE:108389 | NAME_CHAR : 026 - Poids (kg)
19. DocId : 3612 | Concept_CD : DXC|QUESTION|AUTRE:63615 | NAME_CHAR : 012 - Poids
20. DocId : 3703 | Concept_CD : DXC|QUESTION|AUTRE:78991 | NAME_CHAR : 016 - Poids actuel
21. DocId : 4192 | Concept_CD : DXC|QUESTION|AUTRE:159274 | NAME_CHAR : 007 - Poids (kg)
22. DocId : 6039 | Concept_CD : DXC|QUESTION|AUTRE:180482 | NAME_CHAR : 003 - Poids
23. DocId : 8966 | Concept_CD : DXC|QUESTION|AUTRE:47630 | NAME_CHAR : 026 - Poids (kg)
