1. DocId : 3112 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
2. DocId : 3680 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
3. DocId : 6321 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
4. DocId : 12688 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
5. DocId : 13469 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
6. DocId : 19618 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
7. DocId : 20338 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
8. DocId : 21608 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
9. DocId : 29266 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
10. DocId : 31060 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
11. DocId : 35949 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
12. DocId : 43268 | Concept_CD : SYN|ANA:C1CRD | NAME_CHAR : CREATININE dialyse
13. DocId : 51152 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
14. DocId : 53482 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
15. DocId : 58192 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
16. DocId : 61111 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
17. DocId : 67971 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
18. DocId : 70252 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
19. DocId : 71079 | Concept_CD : SYN|ANA:C1CRD | NAME_CHAR : CREATININE dialyse
20. DocId : 74534 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
21. DocId : 74946 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
22. DocId : 77854 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
23. DocId : 80028 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
24. DocId : 83959 | Concept_CD : SYN|ANA:C0CRS | NAME_CHAR : CREATININE sg
25. DocId : 100472 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
26. DocId : 102609 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
27. DocId : 103926 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
28. DocId : 104278 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
29. DocId : 104504 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
30. DocId : 106199 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
31. DocId : 106478 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
32. DocId : 108014 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
33. DocId : 108074 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
34. DocId : 108302 | Concept_CD : SYN:ANA-C1CRS | NAME_CHAR : CREATININE sg
35. DocId : 115911 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
36. DocId : 118363 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
37. DocId : 118462 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
38. DocId : 121248 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
39. DocId : 124452 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
40. DocId : 125191 | Concept_CD : SYN|ANA:C0CRU | NAME_CHAR : CREATININE ur
41. DocId : 126268 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
42. DocId : 126951 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
43. DocId : 130721 | Concept_CD : SYN|ANA:C1CRS | NAME_CHAR : CREATININE sg
44. DocId : 133421 | Concept_CD : SYN|ANA:C0CRU | NAME_CHAR : CREATININE ur
45. DocId : 134019 | Concept_CD : SYN|ANA:C1CRU | NAME_CHAR : CREATININE ur
46. DocId : 134762 | Concept_CD : SYN|ANA:CY607 | NAME_CHAR : CLAIRANCE CREATININE
